date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:20	15725/15725	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/favicons/favicon-144x144.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-144x144.png	(from https://angular.io/)
15:42:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:24%20GMT	http://angular.io/light-theme.css	C:/xampp/htdocs/Test%20Website/angular/angular.io/light-theme.e.delayed	(from https://angular.io/)
15:42:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:24%20GMT	http://angular.io/dark-theme.css	C:/xampp/htdocs/Test%20Website/angular/angular.io/dark-theme.10.delayed	(from https://angular.io/)
15:42:21	79025/79025	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/light-theme.css	C:/xampp/htdocs/Test%20Website/angular/angular.io/light-theme.css	(from https://angular.io/)
15:42:21	78924/78924	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/dark-theme.css	C:/xampp/htdocs/Test%20Website/angular/angular.io/dark-theme.css	(from https://angular.io/)
15:42:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:25%20GMT	http://angular.io/pwa-manifest.json	C:/xampp/htdocs/Test%20Website/angular/angular.io/pwa-manifest.12.delayed	(from https://angular.io/)
15:42:22	1631/1631	---M-Z	200	added ('OK')	application/json	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/pwa-manifest.json	C:/xampp/htdocs/Test%20Website/angular/angular.io/pwa-manifest.json	(from https://angular.io/)
15:42:22	49377/49377	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Jun%202021%2017:36:57%20GMT	https://www.google-analytics.com/analytics.js	C:/xampp/htdocs/Test%20Website/angular/www.google-analytics.com/analytics.js	(from https://angular.io/)
15:42:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:26%20GMT	http://angular.io/styles.8eba3cc181255872ed8b.css	C:/xampp/htdocs/Test%20Website/angular/angular.io/styles.8eba3cc181255872ed8b.15.delayed	(from https://angular.io/)
15:42:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:27%20GMT	http://angular.io/generated/js/custom-elements-es5-polyfills.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/generated/js/custom-elements-es5-polyfills.17.delayed	(from https://angular.io/)
15:42:24	69211/69211	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/styles.8eba3cc181255872ed8b.css	C:/xampp/htdocs/Test%20Website/angular/angular.io/styles.8eba3cc181255872ed8b.css	(from https://angular.io/)
15:42:24	11473/11473	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/generated/js/custom-elements-es5-polyfills.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/generated/js/custom-elements-es5-polyfills.js	(from https://angular.io/)
15:42:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:28%20GMT	http://angular.io/runtime-es2017.56e967b466f3a22035f5.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/runtime-es2017.56e967b466f3a22035f5.19.delayed	(from https://angular.io/)
15:42:25	4619/4619	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/runtime-es2017.56e967b466f3a22035f5.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/runtime-es2017.56e967b466f3a22035f5.js	(from https://angular.io/)
15:42:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:29%20GMT	http://angular.io/runtime-es5.56e967b466f3a22035f5.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/runtime-es5.56e967b466f3a22035f5.1b.delayed	(from https://angular.io/)
15:42:26	4613/4613	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/runtime-es5.56e967b466f3a22035f5.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/runtime-es5.56e967b466f3a22035f5.js	(from https://angular.io/)
15:42:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:29%20GMT	http://angular.io/polyfills-es5.7dd4ba532747d19e4156.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/polyfills-es5.7dd4ba532747d19e4156.1d.delayed	(from https://angular.io/)
15:42:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:29%20GMT	http://angular.io/polyfills-es2017.020369d0717706f8c675.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/polyfills-es2017.020369d0717706f8c675.1f.delayed	(from https://angular.io/)
15:42:26	150451/150451	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/polyfills-es5.7dd4ba532747d19e4156.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/polyfills-es5.7dd4ba532747d19e4156.js	(from https://angular.io/)
15:42:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:30%20GMT	http://angular.io/main-es2017.3f7e5a6918e60ac40db4.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/main-es2017.3f7e5a6918e60ac40db4.21.delayed	(from https://angular.io/)
15:42:28	55210/55210	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/polyfills-es2017.020369d0717706f8c675.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/polyfills-es2017.020369d0717706f8c675.js	(from https://angular.io/)
15:42:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:32%20GMT	http://angular.io/main-es5.3f7e5a6918e60ac40db4.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/main-es5.3f7e5a6918e60ac40db4.23.delayed	(from https://angular.io/)
15:42:28	456436/456436	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/main-es2017.3f7e5a6918e60ac40db4.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/main-es2017.3f7e5a6918e60ac40db4.js	(from https://angular.io/)
15:42:29	530035/530035	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/main-es5.3f7e5a6918e60ac40db4.js	C:/xampp/htdocs/Test%20Website/angular/angular.io/main-es5.3f7e5a6918e60ac40db4.js	(from https://angular.io/)
15:42:29	4515/4515	---M-Z	200	added ('OK')	image/png	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/logos/angular/angular_whiteTransparent_withMargin.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/logos/angular/angular_whiteTransparent_withMargin.png	(from https://angular.io/styles.8eba3cc181255872ed8b.css)
15:42:29	883/883	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/logos/angular/angular.svg	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/logos/angular/angular.svg	(from https://angular.io/styles.8eba3cc181255872ed8b.css)
